INFO 2024-06-04 12:53:34,130 autoreload Watching for file changes with StatReloader
DEBUG 2024-06-04 12:53:34,135 autoreload Waiting for apps ready_event.
DEBUG 2024-06-04 12:53:34,158 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-06-04 12:53:34,175 autoreload Watching dir C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\captcha\templates with glob **/*.
DEBUG 2024-06-04 12:53:34,176 autoreload Watching dir C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\accounts\templates with glob **/*.
DEBUG 2024-06-04 12:53:34,177 autoreload Watching dir C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\mainapp\templates with glob **/*.
DEBUG 2024-06-04 12:53:34,181 autoreload Watching dir C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\django_bootstrap5\templates with glob **/*.
DEBUG 2024-06-04 12:53:34,183 autoreload Watching dir C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\locale with glob **/*.mo.
DEBUG 2024-06-04 12:53:34,184 autoreload Watching dir C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\mainapp\locale with glob **/*.mo.
DEBUG 2024-06-04 12:53:34,186 autoreload Watching dir C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\accounts\locale with glob **/*.mo.
DEBUG 2024-06-04 12:53:34,186 autoreload Watching dir C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\django_bootstrap5\locale with glob **/*.mo.
DEBUG 2024-06-04 12:53:34,187 autoreload Watching dir C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\captcha\locale with glob **/*.mo.
DEBUG 2024-06-04 12:53:34,226 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-06-04 12:53:34,231 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-06-04 12:53:34,375 autoreload File C:\Users\wojte\AppData\Local\Programs\Python\Python311\Lib\asyncio\log.py first seen with mtime 1701712918.0
DEBUG 2024-06-04 12:53:34,375 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\django\core\checks\compatibility\__init__.py first seen with mtime 1716894251.5938523
DEBUG 2024-06-04 12:53:34,376 autoreload File C:\Users\wojte\AppData\Local\Programs\Python\Python311\Lib\warnings.py first seen with mtime 1701712920.0
DEBUG 2024-06-04 12:53:34,376 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\django\contrib\sessions\base_session.py first seen with mtime 1716894251.1368978
DEBUG 2024-06-04 12:53:34,376 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\django\core\management\commands\runserver.py first seen with mtime 1716894251.6494617
DEBUG 2024-06-04 12:53:34,377 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\django\db\models\functions\__init__.py first seen with mtime 1716894251.7566116
DEBUG 2024-06-04 12:53:34,377 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\reportlab\pdfbase\_fontdata_enc_winansi.py first seen with mtime 1717071174.2992382
DEBUG 2024-06-04 12:53:34,378 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\django\core\checks\caches.py first seen with mtime 1716894251.5865853
DEBUG 2024-06-04 12:53:34,378 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\django\template\defaulttags.py first seen with mtime 1716894251.8803434
DEBUG 2024-06-04 12:53:34,379 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\mainapp\apps.py first seen with mtime 1713870749.2930481
DEBUG 2024-06-04 12:53:34,379 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\reportlab\pdfbase\__init__.py first seen with mtime 1717071174.2916312
DEBUG 2024-06-04 12:53:34,381 autoreload File C:\Users\wojte\AppData\Local\Programs\Python\Python311\Lib\zoneinfo\_common.py first seen with mtime 1701712920.0
DEBUG 2024-06-04 12:53:34,381 autoreload File C:\Users\wojte\AppData\Local\Programs\Python\Python311\Lib\string.py first seen with mtime 1701712918.0
DEBUG 2024-06-04 12:53:34,382 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\sqlparse\keywords.py first seen with mtime 1716894246.947703
DEBUG 2024-06-04 12:53:34,382 autoreload File C:\Users\wojte\AppData\Local\Programs\Python\Python311\Lib\html\__init__.py first seen with mtime 1701712918.0
DEBUG 2024-06-04 12:53:34,383 autoreload File C:\Users\wojte\AppData\Local\Programs\Python\Python311\Lib\selectors.py first seen with mtime 1701712918.0
DEBUG 2024-06-04 12:53:34,383 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\django\middleware\cache.py first seen with mtime 1716894251.866768
DEBUG 2024-06-04 12:53:34,383 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\reportlab\pdfbase\_fontdata_widths_helveticaoblique.py first seen with mtime 1717071174.3097677
DEBUG 2024-06-04 12:53:34,384 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\django\urls\utils.py first seen with mtime 1716894251.9239545
DEBUG 2024-06-04 12:53:34,384 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\django\template\context.py first seen with mtime 1716894251.8769588
DEBUG 2024-06-04 12:53:34,385 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\django\utils\formats.py first seen with mtime 1716894251.9469683
DEBUG 2024-06-04 12:53:34,385 autoreload File C:\Users\wojte\Pulpit\szkola\semestr_4\szkieletory\budowlanka\venv\Lib\site-packages\reportlab\pdfbase\_fontdata_enc_zapfdingbats.py first seen with mtime 1717071174.3002348
